Category,Health
,
Date,Influenza
2020-01,48
2020-02,43
2020-03,20
2020-04,11
2020-05,8
2020-06,7
2020-07,7
2020-08,8
2020-09,57
2020-10,100
2020-11,23
2020-12,13
2021-01,7
2021-02,6
2021-03,8
2021-04,8
2021-05,7
2021-06,7
2021-07,7
2021-08,8
2021-09,17
2021-10,40
2021-11,22
2021-12,12
2022-01,8
2022-02,9
2022-03,7
2022-04,5
2022-05,5
2022-06,4
2022-07,4
2022-08,5
2022-09,16
2022-10,36
2022-11,25
2022-12,42
2023-01,25
2023-02,8
2023-03,9
2023-04,13
2023-05,19
2023-06,14
2023-07,12
2023-08,11
2023-09,17
2023-10,43
2023-11,45
2023-12,55
2024-01,33
2024-02,17
2024-03,13
2024-04,12
2024-05,11
2024-06,14
2024-07,10
2024-08,10
2024-09,13
2024-10,26
2024-11,19
2024-12,40
2025-01,93
2025-02,19
2025-03,13
2025-04,15
2025-05,10
2025-06,6
2025-07,4
2025-08,5
2025-09,12
2025-10,33
2025-11,75
